4,Dostojevskog 7,"[""Bar 7/43450087_2219836458251565_2312063891384827904_n-JBHJ.jpg"",""Bar 7/49380195_2279358585632685_5153357209215696896_n-C4Ue.jpg"",""Bar 7/52029297_2299273806974496_8378219754011230208_n-uq2N.jpg"",""Bar 7/52259315_2301947576707119_6534911801652412416_n-a6vB.jpg"",""Bar 7/52765586_2307101856191691_5341141391374286848_n-2lzZ.jpg"",""Bar 7/52800225_2307097866192090_7754517797425643520_n-l2g6.jpg"",""Bar 7/52983607_2312908935610983_2544656333471219712_n-u1Mn.jpg""]",44.782924,20.417873,Bar 7/33086886_2110007439234468_7050076172276727808_n-XLtj.jpg,Bar 7,Web sajt: caffebar7.rs,"[""08-23"",""08-23"",""08-23"",""08-23"",""08-00"",""08-00"",""08-23""]",5
7,Dositejeva 21,[],44.819217,20.46367,D Bar/wsi-imageoptim-1478940_1423575314546792_1553047465_n.jpg,D Bar,063 633389,"[""09-02"",""09-02"",""09-02"",""09-02"",""09-02"",""09-02"",""09-02""]",5
9,Mije Kovačevića 7,[],44.8147657,20.4910506,Heritage Rooftop Bar/I'll-owl-wayslove-you!-(25)-Rx6F.jpg,Heritage Rooftop Bar,Web sajt: www.heritagebelgrade.com/sr,"[""09-00"",""09-00"",""09-00"",""09-00"",""09-01"",""09-01"",""09-00""]",5
10,Kralja Petra 59,[],44.8208969,20.4563981,Bar Central/f89331bb2f36335e7fd678c977de730a_400x400-MnGo.png,Bar Central,011 2626444,"[""09-00"",""09-00"",""09-00"",""09-00"",""09-01"",""17-01"",""17-00""]",5
11,Cetinjska 15,[],44.81789985,20.4652297,District Bar/wsi-imageoptim-d-logo-1.jpg,District Bar,063 322870,"[""17-00"",""17-00"",""17-00"",""17-00"",""17-00"",""17-00"",""17-00""]",5
12,Terazije 26,"[""Beer Pong Bar/4 beer pong bar -tnoc.jpg"",""Beer Pong Bar/beer pong bar -TMPS.jpg"",""Beer Pong Bar/beer pong bar 2-ZEgS.jpg"",""Beer Pong Bar/beer pong bar 3-JOn5.jpg"",""Beer Pong Bar/beer pong bar 5-6aiQ.jpg"",""Beer Pong Bar/beer pong bar 6-UQNo.jpg"",""Beer Pong Bar/beer pong bar 7-kmaf.jpg""]",44.812456,20.460978,Beer Pong Bar/beer-pong-bar-logo-zoCR.png,Beer Pong Bar,Web sajt: beerpongbar.rs,"[""20-01"",""20-01"",""20-01"",""20-01"",""20-02"",""20-02"",""20-01""]",5
13,Braće Krsmanović 6,[],44.8142693,20.4505672,Bar Ben Akiba/Ben-Akiba-logo-800x800-1.jpg,Bar Ben Akiba,060 3060131,"[""20-01"",""20-01"",""20-01"",""20-01"",""21-04"",""21-04"",""20-01""]",5
14,Gavrila Principa 7,[],44.8137114,20.4543436,Bar Shootiranje/I'll-owl-wayslove-you!-(27)-UDsR.jpg,Bar Shootiranje,069 1022072,"[""08-00"",""08-00"",""08-00"",""08-00"",""08-01"",""08-01"",""08-00""]",5
15,Kneza Miloša 16,"[""The Three Carrots/26993331_1907572249284399_231578038288005574_n-Us9F-YiOj.jpg"",""The Three Carrots/36461260_2142241615817460_1806907443100254208_n-B1R9-cHI3.jpg"",""The Three Carrots/36514099_2146460158728939_8292205891378216960_n-XGiA-pRhB.jpg"",""The Three Carrots/Aperol Spritz-7iMe-guvt.JPG"",""The Three Carrots/Baldy Marry-q47s-pzmm.JPG"",""The Three Carrots/Black Beard-w1Eg-UMLs.JPG"",""The Three Carrots/DSC_0795-F6uB-CInI.JPG"",""The Three Carrots/DSC_5480-uBQM-Frhc.JPG"",""The Three Carrots/DSCF7103-tNq6-7KvL.jpg"",""The Three Carrots/DSCF7231-te0K-umKJ.jpg"",""The Three Carrots/DSCF7490-BLSL-JaUe.jpg"",""The Three Carrots/Melon Kamikazzi-OvGZ-oMXx.JPG"",""The Three Carrots/R&B (1)-otzD-Tj62.JPG"",""The Three Carrots/Untitled_Panorama02-0A3u-Abox.jpg"",""The Three Carrots/Untitled_Panorama03-g2jb-kSOV.jpg"",""The Three Carrots/Untitled_Panorama06-5oMg-n1Ip.jpg"",""The Three Carrots/Untitled_Panorama10-KHUf-eUWX.jpg""]",44.808071,20.462814,The Three Carrots/I'll-owl-wayslove-you!-(8)-0KNq-MX4y.jpg,The Three Carrots,Web sajt: irishpubthreecarrots.com,"[""10-00"",""10-00"",""10-00"",""10-00"",""10-01"",""12-01"",""12-00""]",5
16,Cetinjska 15,[],44.8182931,20.4657644,Bar Kenozoik/wsi-imageoptim-12805811_1686173001635358_7892578621703077513_n.jpg,Bar Kenozoik,064 5441300,"[""-"",""-"",""-"",""-"",""-"",""-"",""-""]",5
17,Balkanska 13,"[""Balkon Mixology bar/2E58F44A-838D-4417-A0B3-CE9864C6C6F0-135T.JPG"",""Balkon Mixology bar/3A22C773-68CD-4D0C-8BAC-6ED4BA69135D-5nJN.JPG"",""Balkon Mixology bar/04ABB536-3D59-4D93-B20D-A725B14FE122-pg32.JPG"",""Balkon Mixology bar/096A01DC-2DA0-4D16-9813-5131A31F2C7E-Rj1h.JPG"",""Balkon Mixology bar/151E32C8-7F56-4C3C-9F30-489EF77B8944-lDtR.JPG"",""Balkon Mixology bar/70728CB1-C394-4F2D-9D1C-1D1FBC31E5DA-BPuf.JPG"",""Balkon Mixology bar/D9EBF8FF-418B-46A3-8E99-BF14C1D6D930-oJlz.JPG"",""Balkon Mixology bar/FF63BE0D-07DB-40FF-AA77-5220A0A7A1BB-aPOh.JPG""]",44.811774,20.460597,Balkon Mixology bar/14440617_1061933553921236_7595090822491523290_n-e71j.jpg,Balkon Mixology bar,Web sajt: www.balkon.rs,"[""08-02"",""08-02"",""08-02"",""08-02"",""08-02"",""09-02"",""09-02""]",5
18,Nikole Spasića 2a,[],44.81862598,20.45452327,Bacaro Cocktail Bar/31357873_2388108827882096_7358128518284181504_n-qOkR.jpg,Bacaro Cocktail Bar,063 522349,"[""10-00"",""10-00"",""10-00"",""10-00"",""10-01"",""10-01"",""10-00""]",5
19,Dobračina 30a,[],44.81984364,20.46315998,0.5 Bar/I'll-owl-wayslove-you!-(22)-PDfe.jpg,0.5 Bar,061 6164393,"[""18-02"",""18-02"",""18-02"",""18-02"",""18-03"",""18-03"",""18-02""]",5
20,Braće Krsmanović 3,"[""Bar ?orba/52784486_2238250189529352_6348743085542866944_n-3uGD.png"",""Bar ?orba/52901603_2247218785299159_5326826312621359104_n-IZp9.jpg"",""Bar ?orba/52948657_2248779605143077_6337414787177119744_n-JBeG.jpg"",""Bar ?orba/53180472_2248777411809963_1628401129035399168_n-7d4F.jpg"",""Bar ?orba/53349903_2248779771809727_1714899816166719488_n-jzob.jpg"",""Bar ?orba/53377773_2248780141809690_8177314356569047040_n-Uw5l.jpg"",""Bar ?orba/53423808_2248779698476401_454486451350929408_n-YVy5.jpg"",""Bar ?orba/53489194_2247217488632622_4389312347215233024_n-b4sQ.jpg"",""Bar ?orba/53761822_2248778995143138_7808629484797558784_n-edlk.jpg""]",44.81443154,20.45071989,Bar ?orba/27540085_1718814368139606_4222259990382059668_n-ytNh-wTxy-4Gzh.jpg,Bar Čorba,069 2622509,"[""09-03"",""09-03"",""09-03"",""09-03"",""09-04"",""09-04"",""09-03""]",5
21,Venizelosova 62,"[""?ura Bar/52565931_2418705604815643_6282302484094386176_n-e0dG.jpg"",""?ura Bar/52800422_2420398641313006_2260390972342927360_n-Ur2s.jpg"",""?ura Bar/52845316_2430802370272633_412823168340721664_n-LiRU.jpg"",""?ura Bar/53046750_2432327973453406_3622279360502824960_n-txCv.jpg"",""?ura Bar/53152814_2437029172983286_4252455310272233472_n-Q8Eq.jpg"",""?ura Bar/53296972_2440120849340785_4278585165451624448_n-NaLW.jpg"",""?ura Bar/53517204_2438630536156483_3259383430336479232_n-bc4M.jpg""]",44.819522,20.473658,?ura Bar/27752093_1876538659032343_2747055612905288324_n-rrpb.jpg,Đura Bar,Web sajt: www.djurabar.rs,"[""09-01"",""09-01"",""09-01"",""09-01"",""09-02"",""09-02"",""09-01""]",5
22,Sinđelićeva 30,[],44.8017933,20.4779574,Pogled Bar/I'll-owl-wayslove-you!-(21)-yovP.jpg,Pogled Bar,065 4559061,"[""10-00"",""10-00"",""10-00"",""10-00"",""10-00"",""10-00"",""10-00""]",5
